"[29, 11, 11]","[1023, 522]"
"[28, 10, 12]","[1023, 522]"
"[28, 10, 11]","[1023, 522]"
"[28, 9, 12]","[1023, 522]"
"[27, 9, 12]","[1023, 522]"
"[27, 9, 12]","[1023, 522]"
"[14, 4, 15]","[536, 1023]"
"[13, 4, 59]","[536, 1023]"
"[12, 4, 18]","[536, 1023]"
"[12, 4, 16]","[536, 1023]"
"[10, 4, 86]","[536, 1023]"
"[10, 3, 16]","[536, 1023]"
"[6, 2, 21]","[0, 522]"
"[6, 2, 21]","[0, 522]"
"[6, 2, 22]","[0, 522]"
"[6, 2, 19]","[0, 522]"
"[6, 3, 17]","[0, 522]"
"[6, 3, 17]","[0, 522]"
"[6, 3, 16]","[0, 522]"
"[6, 2, 18]","[0, 522]"
"[6, 3, 21]","[0, 522]"
"[7, 3, 14]","[0, 522]"
"[7, 3, 14]","[0, 522]"
"[7, 3, 14]","[0, 522]"
"[6, 3, 15]","[0, 522]"
"[6, 3, 16]","[0, 522]"
"[6, 3, 14]","[0, 522]"
"[6, 3, 15]","[0, 522]"
"[6, 3, 17]","[0, 522]"
"[6, 3, 85]","[0, 522]"
"[6, 3, 71]","[0, 522]"
"[16, 11, 42]","[306, 522]"
"[16, 12, 41]","[536, 522]"
"[70, 12, 40]","[536, 522]"
"[16, 16, 2]","[536, 1023]"
"[15, 16, 2]","[536, 1023]"
"[31, 16, 2]","[536, 1023]"
"[16, 16, 2]","[536, 1023]"
"[29, 16, 2]","[536, 1023]"
"[28, 16, 2]","[536, 1023]"
"[29, 16, 2]","[536, 1023]"
"[29, 16, 2]","[536, 1023]"
"[29, 16, 2]","[536, 1023]"
"[30, 16, 2]","[536, 1023]"
"[30, 16, 2]","[536, 1023]"
"[28, 16, 2]","[536, 1023]"
"[19, 16, 2]","[536, 1023]"
"[29, 16, 2]","[536, 1023]"
"[19, 16, 2]","[536, 1023]"
"[18, 16, 2]","[536, 1023]"
"[18, 16, 2]","[536, 1023]"
"[17, 16, 2]","[536, 1023]"
"[17, 16, 2]","[536, 1023]"
"[17, 16, 2]","[536, 1023]"
"[17, 16, 2]","[536, 1023]"
"[18, 16, 2]","[536, 1023]"
"[40, 16, 2]","[536, 1023]"
"[39, 16, 3]","[536, 1023]"
"[38, 17, 2]","[536, 1023]"
"[38, 17, 2]","[536, 1023]"
"[37, 17, 2]","[536, 1023]"
"[21, 16, 2]","[536, 1023]"
"[21, 16, 2]","[536, 1023]"
"[22, 17, 2]","[536, 1023]"
"[18, 16, 38]","[536, 1023]"
"[17, 16, 38]","[536, 1023]"
"[15, 16, 37]","[536, 1023]"
"[15, 16, 38]","[536, 1023]"
"[16, 16, 37]","[536, 1023]"
"[15, 16, 38]","[536, 1023]"
"[16, 16, 37]","[536, 1023]"
"[15, 16, 38]","[536, 1023]"
"[15, 16, 37]","[536, 1023]"
"[14, 16, 38]","[536, 1023]"
"[13, 16, 38]","[536, 1023]"
"[13, 16, 38]","[536, 1023]"
"[12, 16, 38]","[536, 1023]"
"[12, 16, 37]","[536, 1023]"
"[11, 16, 38]","[536, 1023]"
"[10, 17, 37]","[536, 1023]"
"[10, 16, 37]","[536, 1023]"
"[9, 16, 37]","[536, 1023]"
"[8, 16, 37]","[536, 1023]"
"[7, 16, 36]","[536, 522]"
"[7, 16, 37]","[536, 522]"
"[6, 16, 37]","[536, 522]"
"[5, 16, 37]","[0, 522]"
"[5, 16, 37]","[0, 522]"
