"[14, 12, 8]","[536, 522]"
"[17, 12, 8]","[536, 522]"
"[28, 61, 7]","[536, 522]"
"[17, 12, 7]","[536, 522]"
"[15, 18, 7]","[536, 522]"
"[16, 19, 8]","[536, 1023]"
"[15, 18, 8]","[536, 1023]"
"[15, 16, 8]","[536, 1023]"
"[16, 81, 7]","[536, 1023]"
"[15, 45, 8]","[536, 1023]"
"[16, 13, 8]","[536, 1023]"
"[17, 14, 8]","[536, 1023]"
"[18, 89, 8]","[536, 1023]"
"[26, 12, 8]","[536, 1023]"
"[16, 12, 9]","[536, 1023]"
"[15, 13, 9]","[536, 1023]"
"[15, 10, 11]","[536, 1023]"
"[19, 9, 42]","[536, 1023]"
"[17, 9, 43]","[536, 1023]"
"[21, 8, 43]","[0, 522]"
"[16, 9, 43]","[0, 522]"
"[17, 12, 39]","[0, 522]"
"[15, 12, 39]","[0, 522]"
"[16, 12, 39]","[0, 522]"
"[17, 13, 40]","[0, 522]"
"[16, 13, 39]","[0, 522]"
"[16, 14, 39]","[0, 522]"
"[16, 14, 38]","[0, 522]"
"[16, 15, 39]","[0, 522]"
"[19, 15, 38]","[0, 522]"
"[16, 15, 38]","[0, 522]"
"[16, 16, 38]","[0, 522]"
"[17, 18, 38]","[0, 522]"
"[16, 18, 38]","[0, 522]"
"[45, 18, 38]","[0, 522]"
"[16, 41, 37]","[0, 522]"
"[20, 19, 38]","[0, 522]"
"[18, 19, 39]","[536, 530]"
"[19, 20, 38]","[536, 980]"
"[41, 24, 39]","[536, 1023]"
"[16, 35, 40]","[536, 1023]"
"[24, 22, 38]","[536, 788]"
"[42, 22, 40]","[536, 522]"
"[17, 29, 85]","[536, 522]"
"[16, 26, 98]","[536, 522]"
"[19, 28, 99]","[536, 948]"
"[39, 28, 162]","[536, 1023]"
"[39, 29, 162]","[536, 1023]"
"[38, 28, 136]","[536, 1023]"
"[39, 29, 136]","[536, 1023]"
"[21, 61, 17]","[0, 1023]"
"[20, 9, 18]","[0, 1023]"
"[20, 9, 17]","[0, 1023]"
"[19, 9, 18]","[0, 522]"
"[17, 8, 18]","[0, 522]"
"[17, 7, 18]","[0, 522]"
"[15, 8, 17]","[0, 522]"
"[15, 7, 17]","[0, 1023]"
"[14, 7, 17]","[0, 1023]"
"[14, 7, 18]","[0, 1023]"
"[13, 6, 17]","[0, 1023]"
"[13, 7, 17]","[0, 1023]"
"[14, 7, 18]","[0, 1023]"
"[12, 6, 18]","[0, 522]"
"[12, 6, 18]","[0, 522]"
"[11, 6, 17]","[0, 522]"
"[10, 6, 18]","[0, 522]"
"[9, 6, 17]","[0, 522]"
"[9, 6, 17]","[0, 522]"
"[8, 6, 18]","[0, 1023]"
"[8, 6, 19]","[0, 1023]"
"[8, 6, 17]","[0, 1023]"
"[7, 6, 16]","[0, 1023]"
"[7, 6, 17]","[0, 1023]"
"[6, 5, 18]","[0, 1023]"
"[6, 6, 17]","[0, 762]"
"[5, 5, 17]","[0, 522]"
"[5, 5, 19]","[0, 522]"
"[4, 5, 16]","[0, 522]"
"[4, 5, 18]","[0, 522]"
"[4, 5, 17]","[0, 522]"
"[3, 5, 17]","[0, 522]"
"[3, 6, 18]","[0, 522]"
"[15, 8, 18]","[536, 522]"
"[14, 8, 45]","[536, 522]"
"[15, 9, 45]","[536, 522]"
"[15, 8, 45]","[536, 522]"
"[15, 8, 46]","[536, 522]"
"[15, 8, 45]","[536, 522]"
"[15, 8, 45]","[536, 522]"
"[15, 8, 46]","[536, 522]"
"[15, 8, 46]","[536, 522]"
"[15, 8, 46]","[536, 522]"
"[15, 8, 45]","[536, 228]"
"[15, 8, 45]","[536, 0]"
"[15, 8, 45]","[536, 0]"
"[15, 8, 45]","[536, 0]"
"[15, 8, 17]","[536, 0]"
"[16, 9, 45]","[536, 0]"
"[16, 8, 18]","[536, 0]"
"[16, 8, 18]","[536, 0]"
"[17, 8, 15]","[536, 1]"
"[17, 8, 45]","[536, 0]"
"[18, 8, 44]","[536, 1]"
"[19, 8, 44]","[536, 0]"
"[19, 9, 44]","[536, 0]"
"[20, 8, 46]","[536, 522]"
"[21, 8, 16]","[536, 522]"
"[26, 8, 76]","[536, 522]"
"[47, 8, 73]","[536, 522]"
"[23, 9, 16]","[536, 522]"
"[23, 9, 15]","[536, 522]"
"[12, 15, 18]","[0, 522]"
"[12, 17, 19]","[0, 522]"
"[12, 15, 17]","[0, 817]"
"[12, 15, 17]","[0, 1023]"
"[12, 15, 17]","[0, 1023]"
"[11, 14, 17]","[0, 1023]"
"[11, 16, 17]","[0, 1023]"
